date,tomato,onion,potato,greenchilli
2015-01-01,14.4,21.4,18.2,36.8
2015-01-02,13.9,20.7,17.7,38.1
2015-01-03,12.9,20.9,18.2,38.6
2015-01-04,11.5,19.8,18.7,36.1
2015-01-05,11.5,19.2,17.0,35.5
2015-01-06,11.6,19.2,15.1,33.8
2015-01-07,12.3,19.2,15.9,32.9
2015-01-08,11.6,18.1,16.3,32.8
2015-01-09,10.9,19.6,17.1,30.7
2015-01-10,10.5,19.1,16.8,30.6
2015-01-11,11.4,19.2,16.3,32.7
2015-01-12,11.5,19.4,15.6,34.0
2015-01-13,12.2,22.1,15.5,31.9
2015-01-14,11.7,20.2,17.2,31.7
2015-01-15,12.0,20.4,15.6,31.4
2015-01-16,12.4,20.3,15.9,30.9
2015-01-17,11.6,20.2,16.5,30.0
2015-01-18,11.4,19.2,15.7,32.5
2015-01-19,11.8,20.3,16.2,30.2
2015-01-20,11.2,19.7,16.3,27.8
2015-01-21,11.3,19.2,15.7,28.7
2015-01-22,10.8,19.2,16.7,28.4
2015-01-23,10.5,19.9,15.3,28.1
2015-01-24,9.9,18.7,16.3,29.0
2015-01-25,9.9,18.2,15.8,29.3
2015-01-26,10.7,18.0,15.7,28.1
2015-01-27,10.2,17.9,16.4,25.0
2015-01-28,9.3,17.1,16.2,25.1
2015-01-29,9.1,15.1,15.1,27.2
2015-01-30,10.1,15.5,14.6,29.9
2015-01-31,10.6,15.4,15.2,30.0
2015-02-01,10.8,16.2,13.6,28.2
2015-02-02,11.3,16.7,14.5,31.8
2015-02-03,11.4,15.4,15.0,31.7
2015-02-04,10.6,15.7,15.6,31.4
2015-02-05,10.5,16.0,16.1,33.0
2015-02-06,11.2,16.4,16.7,31.2
2015-02-07,11.3,16.2,16.8,30.7
2015-02-08,10.5,15.2,17.9,28.2
2015-02-09,10.8,15.5,17.1,28.4
2015-02-10,10.8,16.9,18.4,28.8
2015-02-11,10.8,16.7,18.0,28.5
2015-02-12,11.7,16.0,18.7,30.5
2015-02-13,11.8,16.9,17.8,29.3
2015-02-14,12.9,16.9,17.0,28.7
2015-02-15,13.2,17.5,17.4,29.7
2015-02-16,12.8,16.4,16.8,30.2
2015-02-17,12.0,16.7,16.0,31.9
2015-02-18,11.7,17.7,16.6,34.0
2015-02-19,11.1,19.4,16.8,33.7
2015-02-20,12.2,19.2,15.7,34.4
2015-02-21,11.3,17.7,16.9,34.2
2015-02-22,11.9,16.6,17.1,33.2
2015-02-23,12.0,15.9,16.4,34.4
2015-02-24,12.5,17.2,15.1,32.8
2015-02-25,11.6,17.6,15.1,31.0
2015-02-26,11.4,18.5,13.9,31.1
2015-02-27,11.6,18.6,15.9,30.1
2015-02-28,10.6,19.6,16.9,28.7
2015-03-01,9.9,21.2,17.1,30.1
2015-03-02,9.5,20.8,15.8,32.2
2015-03-03,10.3,20.7,14.7,32.8
2015-03-04,10.7,21.0,16.4,34.9
2015-03-05,11.5,20.4,17.4,34.5
2015-03-06,11.7,20.6,17.2,33.4
2015-03-07,13.1,20.9,18.7,32.9
2015-03-08,12.0,21.0,18.2,34.8
2015-03-09,12.0,23.3,18.5,33.4
2015-03-10,12.2,24.9,18.7,35.2
2015-03-11,12.2,24.5,18.5,36.8
2015-03-12,12.0,25.3,20.0,38.8
2015-03-13,11.5,25.1,18.6,39.2
2015-03-14,10.2,26.4,18.5,36.4
2015-03-15,10.7,26.0,19.1,37.0
